****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 359135 ******* 

Variable    Labels

V10001     RELEASE NUMBER                          
V10002     1984 INTERVIEW NUMBER                   
V10898     K113 WTR OWN OTR RL EST                 
V10912     K127 WTR OWN STOCK,ETC                  
V10932     K145 WTR OTHER DEBTS                    
S111       IMP VALUE STOCKS (K128) 84              
S120       IMP VALUE HOME EQUITY 84                
S116       IMP WEALTH W/O EQUITY (WEALTH1) 84      
S117       IMP WEALTH W/ EQUITY (WEALTH2) 84       
V16301     RELEASE NUMBER                          
V16302     1989 INTERVIEW NUMBER                   
V17317     G115 WTR OTR REAL ESTATE                
V17325     G129 WTR OWN STOCKS, ETC                
V17334     G146 WTR OTHER DEBTS                    
S211       IMP VALUE STOCKS (G130) 89              
S220       IMP VALUE HOME EQUITY 89                
S216       IMP WEALTH W/O EQUITY (WEALTH1) 89      
S217       IMP WEALTH W/ EQUITY (WEALTH2) 89       
ER2001     RELEASE NUMBER                          
ER2002     1994 INTERVIEW #                        
ER3721     G115 WTR OTR REAL ESTATE                
ER3735     G129 WTR OWN STOCKS, ETC                
ER3752     G146 WTR OTHER DEBTS                    
ER3768     G163A WTR SOLD HOME                     
S311       IMP VALUE STOCKS (G130) 94              
S320       IMP VALUE HOME EQUITY 94                
S316       IMP WEALTH W/O EQUITY (WEALTH1) 94      
S317       IMP WEALTH W/ EQUITY (WEALTH2) 94       
ER13001    RELEASE NUMBER                          
ER13002    1999 FAMILY INTERVIEW (ID) NUMBER       
ER14991    W1 WTR OTR REAL ESTATE                  
ER15006    W15 WTR OWN NON-IRA STOCK               
ER15019    W27 WTR CK/SAVINGS/CD, ETC              
ER15020    W28 AMT ALL ACCOUNTS                    
ER15030    W38 WTR OTHER DEBTS                     
ER15046    W54 WTR SOLD HOME SINCE 1/94            
S411       IMP VALUE STOCKS (W16) 99               
S418       IMP WTR ANNUITY/IRA (W21) 99            
S419       IMP VALUE ANNUITY/IRA (W22) 99          
S420       IMP VALUE HOME EQUITY 99                
S416       IMP WEALTH W/O EQUITY (WEALTH1) 99      
S417       IMP WEALTH W/ EQUITY (WEALTH2) 99       
ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER19187    W1 WTR OTR REAL ESTATE                  
ER19202    W15 WTR OWN NON-IRA STOCK               
ER19215    W27 WTR CK/SAVINGS/CD, ETC              
ER19216    W28 AMT ALL ACCOUNTS                    
ER19226    W38 WTR OTHER DEBTS                     
ER19242    W54 WTR SOLD HOME                       
S511       IMP VALUE STOCKS (W16) 01               
S518       IMP WTR ANNUITY/IRA (W21) 01            
S519       IMP VALUE ANNUITY/IRA (W22) 01          
S520       IMP VALUE HOME EQUITY 01                
S516       IMP WEALTH W/O EQUITY (WEALTH1) 01      
S517       IMP WEALTH W/ EQUITY (WEALTH2) 01       
ER21001    RELEASE NUMBER                          
