YY1,WGT,INCOME,WAGEINC,NORMINC,IRAKH,THRIFT,RETQLIQ,EDN_INST,DEBT,NETWORTH,ASSET,FIN,CCBAL,DCPLANCJ,AGE,AGECL,HHSEX,MARRIED,KIDS,EDUC,EDCL,RACECL4,LF,HRETQLIQ,ANYPEN,DBPLANCJ,HEDN_INST,NWCAT,INCCAT,has_student_debt,has_ira,has_retirement,age_group,educ_group,race_group,income_group,nw_group,is_married,is_female,in_labor_force,debt_to_income
1,3129.66942586,36448.3466934,0.0,36448.3466934,132200.0,0.0,132200.0,0.0,291800.0,635360.0,927160.0,149160.0,0.0,0.0,70,5,2,2,2,9,3,1,0,1,0,0,0,4,2,0,1,1,65-74,Some college,White non-Hispanic,20-39.9%,75-89.9%,0,1,0,0.0
2,248.461211714,224829.65932,9857.915831679999,224829.65932,100000.0,0.0,100000.0,0.0,519100.0,722780.0,1241880.0,142080.0,700.0,0.0,46,3,1,2,0,12,4,1,1,1,0,0,0,4,5,0,1,1,45-54,College degree+,White non-Hispanic,80-89.9%,75-89.9%,0,0,1,0.0
3,666.7883073959999,464575.90180399996,0.0,464575.90180399996,489200.0,0.0,489200.0,0.0,18426000.0,43515270.0,61941270.0,60527484.0,0.0,0.0,68,5,1,1,0,14,4,1,0,1,1,1,0,5,6,0,1,1,65-74,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,0,0.0
4,619.2741683219999,147652.555108,0.0,147652.555108,1501000.0,0.0,1501000.0,0.0,0.0,2112600.0,2112600.0,2072600.0,0.0,0.0,74,5,2,2,0,12,4,1,0,1,1,0,0,5,5,0,1,1,65-74,College degree+,White non-Hispanic,80-89.9%,Top 10%,0,1,0,0.0
5,7305.81522384,60531.06212440001,60531.062124000004,60531.06212440001,0.0,0.0,0.0,0.0,10400.0,4840.0,15240.0,1440.0,0.0,0.0,19,1,2,1,0,8,2,4,1,0,0,0,0,1,3,0,0,0,18-34,HS diploma/GED,Other,40-59.9%,Bottom 25%,1,1,1,0.0
6,3645.56111584,273297.745494,0.0,273297.745494,942200.0,0.0,942200.0,0.0,126800.0,6878234.0,7005034.0,5391434.0,0.0,0.0,74,5,1,1,0,12,4,1,0,1,1,1,0,5,6,0,1,1,65-74,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,0,0.0
7,58.6732078802,13747036.573199999,1046755.0100220001,4369045.59118,1011500.0,654800.0,1666300.0,0.0,0.0,73774600.0,73774600.0,14065400.0,0.0,1.0,52,3,1,1,1,13,4,1,1,1,1,0,0,5,6,0,1,1,45-54,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
8,2456.9958581399997,39777.5551102,0.0,39777.5551102,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,0.0,0.0,60,4,2,2,0,12,4,2,0,0,0,0,0,1,2,0,0,0,55-64,College degree+,Black/African-American,20-39.9%,Bottom 25%,0,1,0,0.0
9,3365.55903406,670165.33066,237800.6012,670165.33066,0.0,0.0,0.0,0.0,925400.0,10629740.0,11555140.0,295000.0,0.0,0.0,43,2,1,1,2,12,4,1,1,0,0,0,0,5,6,0,0,0,35-44,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
10,7289.22630694,43236.472946,0.0,67016.533066,0.0,0.0,0.0,0.0,183400.0,213410.0,396810.0,27950.0,26000.0,0.0,67,5,1,1,0,12,4,1,1,0,0,0,0,3,2,0,0,0,65-74,College degree+,White non-Hispanic,20-39.9%,50-74.9%,1,0,1,0.0
11,1716.5059225600003,211858.71743000002,185916.83367,211858.71743000002,0.0,0.0,0.0,0.0,182000.0,324300.0,506300.0,20500.0,1000.0,0.0,46,3,1,2,0,13,4,1,1,0,0,0,0,3,5,0,0,0,45-54,College degree+,White non-Hispanic,80-89.9%,50-74.9%,0,0,1,0.0
12,6274.089221960001,43668.837675200004,35886.2725452,43668.837675200004,0.0,540.0,540.0,0.0,8750.0,4020.0,12770.0,2770.0,630.0,0.2,51,3,2,2,1,9,3,1,1,0,0,0,0,1,2,0,0,0,45-54,Some college,White non-Hispanic,20-39.9%,Bottom 25%,0,1,1,0.0
13,2723.45697526,23131.513026,0.0,23131.513026,32400.0,0.0,32400.0,0.0,0.0,127488.0,127488.0,114488.0,0.0,0.0,77,6,1,2,0,12,4,1,0,1,0,0,0,3,1,0,1,1,75+,College degree+,White non-Hispanic,Bottom 20%,50-74.9%,0,0,0,0.0
14,5683.41002958,59233.967936199995,48641.032064,59233.967936199995,0.0,0.0,0.0,0.0,134840.0,396086.6,530926.6,506.6,3250.0,0.0,57,4,2,2,2,8,2,2,1,0,1,1,0,3,3,0,0,0,55-64,HS diploma/GED,Black/African-American,40-59.9%,50-74.9%,0,1,1,0.0
15,18124.0376448,115657.565126,115657.565126,115657.565126,6380.0,732.0,7112.0,213600.0,243980.0,-164812.0,79168.0,44368.0,5400.0,1.0,30,1,2,1,0,13,4,1,1,1,1,0,1,1,4,1,1,1,18-34,College degree+,White non-Hispanic,60-79.9%,Bottom 25%,1,1,1,1.846831201809404
16,3255.60925382,48208.6673346,43668.837675200004,48208.6673346,0.0,0.0,0.0,0.0,22300.0,291486.0,313786.0,3196.0,300.0,0.0,56,4,1,1,1,8,2,3,1,0,0,0,0,3,3,0,0,0,55-64,HS diploma/GED,Hispanic,40-59.9%,50-74.9%,1,0,1,0.0
